epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0908,1.27901,2.06177,1.16697,0.65929,0.80588,0.82385,0.64601,0.77024,1.68433,0.91804,0.000359441,0.000359441,0.000359441
2,65.9999,1.04877,0.91077,1.00322,0.89058,0.96189,0.98891,0.80998,0.72501,0.96377,0.9975,0.000724958,0.000724958,0.000724958
3,97.3781,1.05144,0.8406,1.00255,0.89397,0.85826,0.9655,0.73618,0.7771,0.80905,1.01379,0.00108559,0.00108559,0.00108559
4,127.987,1.00414,0.85427,1.0101,0.5261,0.94069,0.6072,0.47625,0.75382,2.45502,0.97628,0.001089,0.001089,0.001089
5,158.646,0.96168,0.75385,0.9904,0.89984,0.93317,0.96906,0.77399,0.75824,0.58455,0.98243,0.00108167,0.00108167,0.00108167
6,189.446,0.93905,0.67165,0.98372,0.97315,0.92477,0.97295,0.75555,0.81099,0.52195,0.99244,0.00107434,0.00107434,0.00107434
7,220.682,0.98846,0.6349,0.989,0.95454,0.95025,0.96034,0.77651,0.77017,0.49454,0.9857,0.001067,0.001067,0.001067
8,251.724,0.93455,0.58349,0.97433,0.91549,0.88845,0.91773,0.72682,0.75706,0.52425,0.98463,0.00105967,0.00105967,0.00105967
9,282.933,0.94256,0.58871,0.98666,0.97868,0.89904,0.96144,0.76241,0.76453,0.47577,0.982,0.00105234,0.00105234,0.00105234
10,314.085,0.92031,0.57533,0.96617,0.98769,0.97736,0.995,0.78975,0.82389,0.41486,1.00785,0.00104501,0.00104501,0.00104501
11,345.816,0.93625,0.56624,0.96047,0.98196,0.99497,0.9945,0.8073,0.73712,0.41087,0.95424,0.00103767,0.00103767,0.00103767
12,377.449,0.94583,0.55518,0.97918,0.96679,1,0.99425,0.80195,0.76979,0.40703,0.972,0.00103034,0.00103034,0.00103034
13,409.026,0.88387,0.53282,0.97144,0.97326,0.96345,0.98269,0.78287,0.83465,0.40906,0.99786,0.00102301,0.00102301,0.00102301
14,441.013,0.96011,0.55365,0.96932,0.97541,0.99284,0.995,0.8049,0.77525,0.39763,0.99918,0.00101568,0.00101568,0.00101568
15,472.922,0.88392,0.52171,0.95426,0.96791,0.99225,0.995,0.8049,0.73446,0.38645,0.97819,0.00100834,0.00100834,0.00100834
16,504.559,0.89732,0.51867,0.95379,0.97308,0.99752,0.995,0.81684,0.73434,0.40253,0.97075,0.00100101,0.00100101,0.00100101
17,537.056,0.86199,0.51968,0.94556,0.97752,0.99832,0.995,0.82566,0.74823,0.39275,0.9692,0.000993678,0.000993678,0.000993678
18,569.424,0.86153,0.49786,0.93265,0.97306,0.98843,0.995,0.81666,0.70732,0.3759,0.94836,0.000986346,0.000986346,0.000986346
19,601.02,0.82351,0.48357,0.93023,0.96202,0.96004,0.96365,0.79733,0.70415,0.37797,0.94491,0.000979013,0.000979013,0.000979013
20,632.685,0.84375,0.49233,0.93464,0.97949,0.97715,0.98464,0.79789,0.76507,0.38072,0.96546,0.000971681,0.000971681,0.000971681
21,664.442,0.84515,0.49644,0.93786,0.99047,0.99225,0.995,0.81567,0.703,0.33918,0.94978,0.000964348,0.000964348,0.000964348
22,695.898,0.84963,0.4838,0.93831,0.99,0.9846,0.995,0.83565,0.71221,0.36471,0.95515,0.000957015,0.000957015,0.000957015
23,728.187,0.82481,0.47315,0.9396,0.98738,0.99971,0.995,0.82557,0.69396,0.34259,0.9546,0.000949683,0.000949683,0.000949683
24,759.515,0.82747,0.46394,0.93315,0.99064,1,0.995,0.80957,0.73023,0.36552,0.94909,0.00094235,0.00094235,0.00094235
25,791.091,0.83138,0.47481,0.92879,0.98244,0.98947,0.9945,0.82234,0.70491,0.35247,0.96524,0.000935018,0.000935018,0.000935018
26,822.575,0.84547,0.4718,0.93302,0.98747,1,0.995,0.81638,0.76341,0.35568,0.99031,0.000927685,0.000927685,0.000927685
27,854.472,0.85979,0.47695,0.93699,0.98954,0.98333,0.995,0.81888,0.74823,0.34826,0.98348,0.000920352,0.000920352,0.000920352
28,885.976,0.80821,0.44913,0.9212,0.98889,0.99786,0.995,0.82943,0.75901,0.34694,0.97406,0.00091302,0.00091302,0.00091302
29,917.447,0.80345,0.44659,0.9201,0.96676,0.99717,0.99359,0.83169,0.7074,0.36014,0.95316,0.000905687,0.000905687,0.000905687
30,948.879,0.81151,0.46674,0.93189,0.97899,1,0.995,0.82752,0.72664,0.33091,0.952,0.000898355,0.000898355,0.000898355
31,980.346,0.80345,0.45218,0.93366,0.98891,1,0.995,0.82679,0.76153,0.34781,0.96114,0.000891022,0.000891022,0.000891022
32,1011.72,0.81321,0.46043,0.92834,0.99259,0.9947,0.995,0.81842,0.71385,0.33576,0.96329,0.000883689,0.000883689,0.000883689
33,1043.62,0.76801,0.449,0.92273,0.9869,0.9865,0.99425,0.83827,0.6871,0.33195,0.94398,0.000876357,0.000876357,0.000876357
34,1075.89,0.80125,0.4422,0.92057,0.98251,0.98667,0.99425,0.82655,0.74065,0.3626,0.95062,0.000869024,0.000869024,0.000869024
35,1107.78,0.77879,0.44164,0.92648,0.97579,0.99815,0.99425,0.80484,0.74359,0.36419,0.96062,0.000861692,0.000861692,0.000861692
36,1139.22,0.78175,0.43321,0.91631,0.96204,1,0.99175,0.82946,0.69858,0.34607,0.93274,0.000854359,0.000854359,0.000854359
37,1170.69,0.78316,0.43845,0.91819,0.95465,0.99576,0.99375,0.82847,0.68879,0.3428,0.94643,0.000847026,0.000847026,0.000847026
38,1202.17,0.75802,0.42941,0.91592,0.98788,0.97337,0.98781,0.82243,0.70436,0.35364,0.92532,0.000839694,0.000839694,0.000839694
39,1233.72,0.77694,0.43346,0.91568,0.97291,0.99839,0.99425,0.84018,0.74385,0.33596,0.93782,0.000832361,0.000832361,0.000832361
40,1266.15,0.75852,0.42164,0.90974,0.98316,0.97923,0.995,0.81963,0.77393,0.34419,0.96225,0.000825029,0.000825029,0.000825029
41,1297.82,0.78581,0.42448,0.91653,0.98603,0.99015,0.995,0.83901,0.73561,0.33737,0.9592,0.000817696,0.000817696,0.000817696
42,1329.48,0.73302,0.41992,0.9046,0.99117,0.99316,0.995,0.82804,0.73446,0.33365,0.96839,0.000810363,0.000810363,0.000810363
43,1361.48,0.72725,0.41164,0.90542,0.98591,0.98948,0.995,0.81333,0.75654,0.33816,0.9846,0.000803031,0.000803031,0.000803031
44,1393.28,0.75932,0.42801,0.89897,0.98302,0.97214,0.98902,0.80065,0.79684,0.37916,0.97317,0.000795698,0.000795698,0.000795698
45,1425.45,0.75247,0.41701,0.9035,0.97045,0.98896,0.995,0.83318,0.74328,0.3628,0.97075,0.000788366,0.000788366,0.000788366
46,1457.12,0.74501,0.41771,0.90805,0.97898,0.9846,0.9945,0.79576,0.79553,0.36572,0.96527,0.000781033,0.000781033,0.000781033
47,1488.72,0.73496,0.4073,0.90147,0.9922,1,0.995,0.83522,0.71321,0.32057,0.95799,0.0007737,0.0007737,0.0007737
48,1520.31,0.73808,0.39973,0.8846,0.97714,0.98967,0.995,0.83422,0.72275,0.33132,0.96097,0.000766368,0.000766368,0.000766368
49,1552.03,0.7224,0.40392,0.89133,0.97334,0.99587,0.995,0.82223,0.72233,0.33463,0.96884,0.000759035,0.000759035,0.000759035
50,1583.67,0.69463,0.38861,0.88496,0.98765,0.99732,0.995,0.82076,0.74172,0.33414,0.96886,0.000751703,0.000751703,0.000751703
51,1615.39,0.70491,0.39122,0.88183,0.96069,1,0.99425,0.83951,0.68676,0.31355,0.92621,0.00074437,0.00074437,0.00074437
52,1646.77,0.70824,0.39327,0.8846,0.98932,1,0.995,0.81857,0.74866,0.33182,0.96632,0.000737037,0.000737037,0.000737037
53,1678.48,0.71405,0.39173,0.88386,0.96845,1,0.995,0.8232,0.72485,0.33148,0.97077,0.000729705,0.000729705,0.000729705
54,1709.85,0.68079,0.38532,0.88488,0.96976,1,0.995,0.82641,0.74728,0.33478,0.98055,0.000722372,0.000722372,0.000722372
55,1741.5,0.68474,0.38448,0.87901,0.97009,0.99519,0.99425,0.84195,0.72122,0.32251,0.95506,0.00071504,0.00071504,0.00071504
56,1773.74,0.71716,0.3978,0.88587,0.99296,0.99316,0.995,0.82462,0.76491,0.33809,0.95435,0.000707707,0.000707707,0.000707707
57,1805.6,0.69476,0.39238,0.88049,0.98303,0.99699,0.995,0.82189,0.75191,0.33557,0.9532,0.000700374,0.000700374,0.000700374
58,1837.08,0.71281,0.39092,0.8858,0.99318,0.99229,0.995,0.82736,0.70966,0.31963,0.94916,0.000693042,0.000693042,0.000693042
59,1868.58,0.70847,0.37778,0.89486,0.98716,0.99414,0.995,0.82558,0.70732,0.32047,0.95414,0.000685709,0.000685709,0.000685709
60,1899.87,0.70325,0.38382,0.89277,0.96839,0.99912,0.995,0.80802,0.77137,0.32306,0.97431,0.000678377,0.000678377,0.000678377
61,1931.48,0.68835,0.37547,0.87838,0.98059,1,0.99425,0.8157,0.78337,0.33278,0.9682,0.000671044,0.000671044,0.000671044
62,1963.17,0.66577,0.36597,0.87895,0.99092,0.99024,0.995,0.80528,0.79775,0.32582,0.96529,0.000663711,0.000663711,0.000663711
63,1994.86,0.67556,0.36913,0.87952,0.98539,0.9822,0.9945,0.84264,0.72008,0.30866,0.9449,0.000656379,0.000656379,0.000656379
64,2027.01,0.66986,0.36385,0.86493,0.97586,0.99388,0.99425,0.84792,0.69887,0.30743,0.93991,0.000649046,0.000649046,0.000649046
65,2059.28,0.66427,0.36696,0.87661,0.98837,0.99982,0.995,0.82841,0.71033,0.31091,0.94815,0.000641714,0.000641714,0.000641714
66,2090.75,0.66133,0.35881,0.8688,0.9862,1,0.995,0.83551,0.69677,0.29904,0.94883,0.000634381,0.000634381,0.000634381
67,2122.13,0.6744,0.36803,0.87116,0.95642,0.98667,0.97957,0.8234,0.70969,0.29969,0.94023,0.000627048,0.000627048,0.000627048
68,2153.44,0.64879,0.35946,0.87098,0.96728,1,0.9925,0.82782,0.7485,0.3273,0.95186,0.000619716,0.000619716,0.000619716
69,2184.91,0.66587,0.36103,0.87318,0.97858,0.99916,0.99338,0.84054,0.711,0.30482,0.94911,0.000612383,0.000612383,0.000612383
70,2216.34,0.642,0.35775,0.87325,0.9699,0.99636,0.99359,0.84211,0.73741,0.31692,0.95684,0.000605051,0.000605051,0.000605051
71,2247.7,0.6469,0.35828,0.87353,0.96648,0.99272,0.99359,0.84515,0.72194,0.30245,0.95563,0.000597718,0.000597718,0.000597718
72,2279.16,0.63781,0.35282,0.8697,0.97966,0.98947,0.992,0.84422,0.71885,0.30892,0.9602,0.000590385,0.000590385,0.000590385
73,2310.62,0.64379,0.35305,0.86979,0.98099,0.98376,0.99217,0.82644,0.71578,0.30849,0.95641,0.000583053,0.000583053,0.000583053
74,2342.07,0.6233,0.34744,0.86759,0.9778,0.98428,0.98905,0.83007,0.71792,0.31922,0.96526,0.00057572,0.00057572,0.00057572
75,2373.77,0.63858,0.35041,0.86577,0.96876,0.98333,0.99265,0.83333,0.70926,0.31129,0.95084,0.000568388,0.000568388,0.000568388
76,2405.25,0.65033,0.35517,0.87102,0.96882,0.99807,0.99194,0.81593,0.76389,0.33077,0.95821,0.000561055,0.000561055,0.000561055
77,2436.59,0.63251,0.35707,0.86913,0.96439,0.99706,0.99359,0.8361,0.71199,0.29971,0.95541,0.000553722,0.000553722,0.000553722
78,2468.06,0.58497,0.32831,0.86054,0.9701,0.98482,0.9848,0.82361,0.74562,0.30287,0.97265,0.00054639,0.00054639,0.00054639
79,2499.57,0.60397,0.33488,0.86624,0.96693,0.98674,0.99359,0.82415,0.72557,0.30774,0.96343,0.000539057,0.000539057,0.000539057
80,2530.95,0.61838,0.34118,0.8682,0.95652,0.99312,0.99284,0.83823,0.70514,0.30886,0.95215,0.000531725,0.000531725,0.000531725
81,2562.35,0.6096,0.33644,0.86837,0.98731,0.98667,0.99425,0.8285,0.72097,0.29855,0.95884,0.000524392,0.000524392,0.000524392
82,2593.94,0.6181,0.33838,0.86171,0.96742,0.98667,0.99033,0.82216,0.76008,0.32482,0.9752,0.000517059,0.000517059,0.000517059
83,2625.46,0.61869,0.34135,0.86116,0.96436,1,0.99359,0.84356,0.71695,0.30595,0.96703,0.000509727,0.000509727,0.000509727
84,2656.88,0.61617,0.3402,0.86798,0.97239,1,0.99087,0.84696,0.71096,0.30423,0.93825,0.000502394,0.000502394,0.000502394
85,2688.34,0.592,0.33321,0.87183,0.97019,1,0.995,0.83759,0.71828,0.3051,0.95604,0.000495062,0.000495062,0.000495062
86,2719.77,0.61082,0.33174,0.86119,0.97047,0.99834,0.995,0.83644,0.71602,0.30795,0.96521,0.000487729,0.000487729,0.000487729
87,2751.33,0.60324,0.33621,0.8655,0.97716,0.99874,0.99425,0.82153,0.73611,0.30718,0.96927,0.000480396,0.000480396,0.000480396
88,2782.91,0.59942,0.3273,0.86488,0.98341,0.99508,0.995,0.81155,0.74646,0.30296,0.97851,0.000473064,0.000473064,0.000473064
89,2814.36,0.58521,0.32604,0.85984,0.97344,0.99797,0.995,0.83689,0.73972,0.30881,0.97534,0.000465731,0.000465731,0.000465731
90,2845.84,0.58295,0.31985,0.85345,0.96811,0.99838,0.995,0.82565,0.75981,0.31286,0.98546,0.000458399,0.000458399,0.000458399
91,2877.29,0.59221,0.33074,0.85487,0.97071,1,0.995,0.84745,0.71559,0.29614,0.96374,0.000451066,0.000451066,0.000451066
92,2908.8,0.58204,0.32267,0.85754,0.97612,0.99793,0.995,0.84698,0.7234,0.31659,0.96777,0.000443733,0.000443733,0.000443733
