epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5783,1.59694,3.71997,1.35658,0.25479,0.05,0.04642,0.0299,1.67251,3.75351,1.40825,2.222e-05,2.222e-05,2.222e-05
2,27.0214,1.85509,3.66387,1.27748,0.25094,0.075,0.06203,0.03643,1.69572,3.5591,1.3838,5.5275e-05,5.5275e-05,5.5275e-05
3,36.7706,1.67947,2.70262,1.20132,0.54903,0.30461,0.1635,0.0891,1.68033,2.57335,1.29168,8.80001e-05,8.80001e-05,8.80001e-05
4,46.6297,1.37883,2.06873,1.13284,0.54822,0.36341,0.1954,0.11578,1.53268,4.62752,1.21355,0.000120395,0.000120395,0.000120395
5,56.1542,1.46089,1.6628,1.09556,0.54609,0.36271,0.21347,0.13229,1.43501,4.62679,1.16323,0.00015246,0.00015246,0.00015246
6,68.9189,1.29001,1.46917,1.02395,0.37652,0.43009,0.33582,0.2182,1.3394,3.62994,1.08513,0.000184195,0.000184195,0.000184195
7,79.4636,1.28578,1.96432,1.00876,0.62885,0.43518,0.46078,0.32962,1.19912,4.14592,1.04235,0.000215601,0.000215601,0.000215601
8,89.4185,1.12701,1.19167,0.98029,0.68664,0.65728,0.59217,0.43495,1.12873,3.47095,1.02149,0.000246676,0.000246676,0.000246676
9,99.776,0.98461,0.9832,0.91831,0.61156,0.57963,0.62351,0.47133,1.08269,2.18189,1.00314,0.000277421,0.000277421,0.000277421
10,109.307,1.02301,0.98787,0.97339,0.87796,0.67368,0.79537,0.58546,1.04357,1.67169,0.98029,0.000307836,0.000307836,0.000307836
11,121.068,1.09964,0.9913,0.92455,0.68359,0.81874,0.84281,0.6131,1.06233,1.95353,1.0064,0.000337922,0.000337922,0.000337922
12,131.462,1.14037,0.991,0.91041,0.71224,0.70939,0.82279,0.62906,1.05157,2.67022,1.00668,0.000367677,0.000367677,0.000367677
13,136.544,0.94489,0.82153,0.88691,0.71186,0.71237,0.77593,0.60065,1.03542,2.10248,0.99406,0.000397103,0.000397103,0.000397103
14,140.72,1.07107,0.88283,0.88399,0.59495,0.81429,0.65956,0.49576,1.03172,2.77091,0.99901,0.000426198,0.000426198,0.000426198
15,147.169,1.01789,0.84513,0.89032,0.59495,0.81429,0.65956,0.49576,1.03172,2.77091,0.99901,0.000454963,0.000454963,0.000454963
16,151.372,1.19975,0.98349,0.91292,0.55591,0.81786,0.60039,0.44746,1.07112,2.6876,1.02005,0.000483399,0.000483399,0.000483399
17,155.924,0.95911,0.76328,0.91601,0.75207,0.82628,0.81209,0.61593,1.04426,2.25506,1.01536,0.000511504,0.000511504,0.000511504
18,162.989,1.39023,1.23961,0.88648,0.75207,0.82628,0.81209,0.61593,1.04426,2.25506,1.01536,0.00053928,0.00053928,0.00053928
19,169.265,1.00737,0.73881,0.88824,0.74554,0.83224,0.75235,0.56013,1.03654,4.05848,1.02604,0.000566726,0.000566726,0.000566726
20,176.213,0.99323,0.77545,0.87237,0.75213,0.82884,0.75002,0.53984,1.06615,2.83392,1.05255,0.000593841,0.000593841,0.000593841
21,180.325,0.93678,1.30946,0.9541,0.75213,0.82884,0.75002,0.53984,1.06615,2.83392,1.05255,0.000620627,0.000620627,0.000620627
22,187.029,1.01984,0.77035,0.92094,0.7762,0.82364,0.77822,0.55809,1.07714,1.43752,1.0245,0.000647083,0.000647083,0.000647083
23,191.381,1.07393,0.75473,0.87535,0.7762,0.82364,0.77822,0.55809,1.07714,1.43752,1.0245,0.000673208,0.000673208,0.000673208
24,195.389,0.97096,0.96902,0.94151,0.82993,0.81941,0.84485,0.64116,1.01039,1.30971,0.99774,0.000699004,0.000699004,0.000699004
25,202.455,0.96935,0.65436,0.88121,0.82993,0.81941,0.84485,0.64116,1.01039,1.30971,0.99774,0.00072447,0.00072447,0.00072447
26,207.509,0.92686,0.63901,0.89089,0.81317,0.86258,0.85228,0.65741,0.98356,1.33736,0.98868,0.000749606,0.000749606,0.000749606
27,215.905,0.9357,0.6211,0.89622,0.81317,0.86258,0.85228,0.65741,0.98356,1.33736,0.98868,0.000774411,0.000774411,0.000774411
28,223.92,1.01852,0.63693,0.86789,0.82291,0.86335,0.83537,0.62396,0.98756,1.04848,0.97533,0.000798887,0.000798887,0.000798887
29,227.931,1.11979,0.78683,0.92756,0.82291,0.86335,0.83537,0.62396,0.98756,1.04848,0.97533,0.000823033,0.000823033,0.000823033
30,235.453,1.04155,0.63865,0.87116,0.82291,0.86335,0.83537,0.62396,0.98756,1.04848,0.97533,0.000846849,0.000846849,0.000846849
31,239.688,0.89684,0.62485,0.87897,0.75901,0.79379,0.76323,0.57753,1.02006,2.7478,1.00527,0.000870335,0.000870335,0.000870335
32,246.424,1.0146,0.61623,0.86142,0.75901,0.79379,0.76323,0.57753,1.02006,2.7478,1.00527,0.000893491,0.000893491,0.000893491
33,253.243,0.82918,0.59413,0.84869,0.78141,0.93325,0.9117,0.70633,1.00543,0.7321,0.98108,0.000916317,0.000916317,0.000916317
34,258.432,0.92514,0.60618,0.86594,0.78141,0.93325,0.9117,0.70633,1.00543,0.7321,0.98108,0.000929518,0.000929518,0.000929518
35,263.397,0.96928,0.57682,0.90361,0.78141,0.93325,0.9117,0.70633,1.00543,0.7321,0.98108,0.000924019,0.000924019,0.000924019
36,269.095,0.94793,0.64366,0.90949,0.94943,0.87677,0.9416,0.69575,1.01838,0.76109,1.0253,0.000918519,0.000918519,0.000918519
37,273.038,0.98699,0.64835,0.90955,0.94943,0.87677,0.9416,0.69575,1.01838,0.76109,1.0253,0.00091302,0.00091302,0.00091302
38,276.886,0.88841,0.5934,0.86913,0.94943,0.87677,0.9416,0.69575,1.01838,0.76109,1.0253,0.00090752,0.00090752,0.00090752
39,281.759,0.87922,0.57302,0.87245,0.86523,0.87596,0.88749,0.68591,0.9764,0.72468,0.98354,0.000902021,0.000902021,0.000902021
40,285.868,0.89192,0.56123,0.85701,0.86523,0.87596,0.88749,0.68591,0.9764,0.72468,0.98354,0.000896521,0.000896521,0.000896521
41,290.043,0.98464,0.58056,0.87319,0.93578,0.84657,0.91456,0.71417,0.93979,0.6446,0.97872,0.000891022,0.000891022,0.000891022
42,294.904,0.85854,0.60839,0.88829,0.93578,0.84657,0.91456,0.71417,0.93979,0.6446,0.97872,0.000885523,0.000885523,0.000885523
43,300.989,0.91297,0.70244,0.87487,0.93578,0.84657,0.91456,0.71417,0.93979,0.6446,0.97872,0.000880023,0.000880023,0.000880023
44,306.469,0.95459,0.59664,0.87064,0.97334,0.91517,0.96791,0.74184,0.98945,0.65376,0.97435,0.000874524,0.000874524,0.000874524
45,311.345,0.94077,0.64595,0.85843,0.97334,0.91517,0.96791,0.74184,0.98945,0.65376,0.97435,0.000869024,0.000869024,0.000869024
46,316.073,0.94754,0.53711,0.83739,0.97334,0.91517,0.96791,0.74184,0.98945,0.65376,0.97435,0.000863525,0.000863525,0.000863525
47,321.504,0.98309,0.58941,0.83667,0.98569,0.89004,0.96836,0.76226,0.9451,0.62505,0.96161,0.000858025,0.000858025,0.000858025
48,329.6,0.87421,0.59014,0.85583,0.98569,0.89004,0.96836,0.76226,0.9451,0.62505,0.96161,0.000852526,0.000852526,0.000852526
49,334.609,0.98906,0.77515,0.86714,0.97717,0.89207,0.96858,0.75054,1.01301,0.66413,0.992,0.000847026,0.000847026,0.000847026
50,338.885,0.88761,0.54911,0.84208,0.97717,0.89207,0.96858,0.75054,1.01301,0.66413,0.992,0.000841527,0.000841527,0.000841527
